date,driver_rating
2024-12-30/2025-01-05,3.6407692307692305
2025-01-06/2025-01-12,3.7907894736842107
2025-01-13/2025-01-19,3.564054054054054
2025-01-20/2025-01-26,3.688125
2025-01-27/2025-02-02,3.6644680851063827
2025-02-03/2025-02-09,3.9034782608695653
2025-02-10/2025-02-16,3.8725
2025-02-17/2025-02-23,3.810888888888889
2025-02-24/2025-03-02,4.008333333333334
2025-03-03/2025-03-09,3.694571428571429
2025-03-10/2025-03-16,3.691904761904762
2025-03-17/2025-03-23,3.9012820512820516
2025-03-24/2025-03-30,3.8899999999999997
2025-03-31/2025-04-06,4.034000000000001
